c68a6c5e-6f7f-4e5d-a07a-fc11e0edff05,Jabuka,13.8,10.4,0.2,0.3,52,36,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
3c0d2183-3f67-4891-a2a9-b0c972a85c13,Banana,22.8,12.2,0.3,1.1,89,51,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
93d005bf-4e94-4e36-bb5b-9b163c4269eb,Šargarepa,9.6,4.7,0.2,0.6,41,71,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
9dcb8b18-7eb0-42e7-9359-fb0c03d3d110,Tikvica,3.1,2.1,0.3,1.2,17,15,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
3c0d2183-3f67-4891-a2a9-b0c972a85c14,Kruška,15.5,9.8,0.1,0.4,57,38,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
3c0d2183-3f67-4891-a2a9-b0c972a85c15,Kupina,7.7,4.4,0.5,1.3,43,34,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
3c0d2183-3f67-4891-a2a9-b0c972a85c16,Zelena Salata,2.9,1.2,0.2,1.3,15,10,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
3c0d2183-3f67-4891-a2a9-b0c972a85c18,Pileće Mes,0,0,3.6,31,165,0,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
3c0d2183-3f67-4891-a2a9-b0c972a85c19,Jaje,0.6,0.6,5.6,12.7,143,0,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
3c0d2183-3f67-4891-a2a9-b0c972a85c20,Mleko,4.7,4.7,3.5,3.4,65,27,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
c68a6c5e-6f7f-4e5d-a07a-fc11e0edff06,Žitarice,67.5,0.7,1.6,13.8,353,60,2024-04-04 17:38:39.434565+02,Nikola,2024-04-04 17:38:39.434565+02,Nikola
